,Date,VIX_change_type,"('polarity', 'mean')","('polarity', 'max')","('polarity', 'min')","('word_mentions', 'sum')","('dot', 'sum')","('DT', 'count')",dow_d_min_1,dow_d_min_2,dow_d_min_3,dow_d_min_4,dow_d_min_5
3481,2017-10-27,0,0.22357142857142856,0.775,-0.3,0.0,1.0,7.0,78.94921899999827,200.4003909999992,142.0195310000017,94.40820299999905,127.06054699999731
3482,2017-10-30,-1,0.16126222357142855,1.0,-0.9,2.0,8.0,28.0,96.24023499999748,78.94921899999827,200.4003909999992,142.0195310000017,94.40820299999905
3483,2017-10-31,0,0.10177464581818181,0.8,-0.484375,2.0,4.0,11.0,100.88085900000078,96.24023499999748,78.94921899999827,200.4003909999992,142.0195310000017
3484,2017-11-01,0,0.018613215444444442,0.625,-0.4,0.0,5.0,18.0,71.95898400000078,100.88085900000078,96.24023499999748,78.94921899999827,200.4003909999992
3485,2017-11-02,1,0.319570707,0.9,-0.091666667,0.0,1.0,8.0,128.80078199999843,71.95898400000078,100.88085900000078,96.24023499999748,78.94921899999827
3486,2017-11-03,0,0.19631991685714287,0.625,-0.083333333,1.0,9.0,21.0,180.4003900000025,128.80078199999843,71.95898400000078,100.88085900000078,96.24023499999748
3487,2017-11-06,0,0.2297601010416667,1.0,-0.5,8.0,3.0,24.0,75.49023400000078,180.4003900000025,128.80078199999843,71.95898400000078,100.88085900000078
3488,2017-11-07,0,0.7666666666666666,0.85,0.6,0.0,0.0,3.0,54.109375,75.49023400000078,180.4003900000025,128.80078199999843,71.95898400000078
3489,2017-11-08,0,0.0665692428235294,1.0,-1.0,8.0,6.0,17.0,117.92968800000016,54.109375,75.49023400000078,180.4003900000025,128.80078199999843
3490,2017-11-09,0,0.6866666665,0.7333333329999999,0.64,1.0,0.0,2.0,64.43945299999905,117.92968800000016,54.109375,75.49023400000078,180.4003900000025
3491,2017-11-10,1,0.11929629633333333,0.333333333,-0.125,5.0,0.0,9.0,206.72070299999905,64.43945299999905,117.92968800000016,54.109375,75.49023400000078
3492,2017-11-13,1,0.31715277782352946,1.0,-0.25,3.0,0.0,17.0,59.2382809999981,206.72070299999905,64.43945299999905,117.92968800000016,54.109375
